Moisture,CDS,Humidity,Temperature
449,56,61,31
548,624,73,31
545,475,74,30
420,966,71,30
538,974,60,29
504,52,63,29
408,965,70,29
435,307,52,27
549,534,72,30
429,971,67,28
544,650,79,29
436,965,77,29
527,933,62,29
436,308,51,27
549,517,76,30
541,978,78,29
514,43,61,32
530,320,64,29
534,977,70,29
520,154,66,30
542,977,73,29
519,85,61,28
543,978,75,29
550,46,64,31
514,590,80,29
516,581,76,30
547,50,65,32
540,978,68,29
530,394,67,29
432,970,63,28
526,296,64,29
525,173,66,30
424,971,68,29
478,75,58,29
489,970,78,29
541,978,75,29
433,308,49,26
542,978,75,29
464,67,52,29
525,177,65,31
517,478,75,30
540,977,70,29
509,423,76,30
439,371,67,29
544,977,80,29
416,963,69,29
546,49,65,31
528,109,67,30
426,966,71,29
443,68,60,31
441,972,76,29
524,936,68,29
434,308,49,26
424,972,71,29
455,59,61,32
523,324,69,30
522,59,47,28
523,62,64,31
436,968,75,29
550,500,74,30
523,156,56,29
523,71,66,30
461,60,61,31
434,824,66,28
541,978,72,29
468,87,49,28
507,964,80,28
536,979,56,28
528,114,67,30
501,968,81,28
476,82,46,28
405,961,69,29
515,71,49,27
511,465,76,30
435,110,63,29
505,969,81,28
490,971,78,29
530,133,67,30
540,978,77,29
465,66,62,31
529,151,68,30
522,310,70,30
543,977,77,29
509,454,76,30
546,57,65,31
523,72,65,31
535,979,61,28
517,70,54,27
450,508,57,27
528,60,47,28
472,58,59,32
436,971,75,29
546,51,65,32
522,111,65,29
481,59,65,30
527,151,55,28
531,344,69,30
542,979,79,29
524,62,49,28
537,978,68,29
